     age         smoke   pop dead
1  40-44            no   656   18
2  45-59            no   359   22
3  50-54            no   249   19
4  55-59            no   632   55
5  60-64            no  1067  117
6  65-69            no   897  170
7  70-74            no   668  179
8  75-79            no   361  120
9    80+            no   274  120
10 40-44 cigarPipeOnly   145    2
11 45-59 cigarPipeOnly   104    4
12 50-54 cigarPipeOnly    98    3
13 55-59 cigarPipeOnly   372   38
14 60-64 cigarPipeOnly   846  113
15 65-69 cigarPipeOnly   949  173
16 70-74 cigarPipeOnly   824  212
17 75-79 cigarPipeOnly   667  243
18   80+ cigarPipeOnly   537  253
19 40-44 cigarrettePlus 4531  149
20 45-59 cigarrettePlus 3030  169
21 50-54 cigarrettePlus 2267  193
22 55-59 cigarrettePlus 4682  576
23 60-64 cigarrettePlus 6052 1001
24 65-69 cigarrettePlus 3880  901
25 70-74 cigarrettePlus 2033  613
26 75-79 cigarrettePlus  871  337
27   80+ cigarrettePlus  345  189
28 40-44 cigarretteOnly 3410  124
29 45-59 cigarretteOnly 2239  140
30 50-54 cigarretteOnly 1851  187
31 55-59 cigarretteOnly 3270  514
32 60-64 cigarretteOnly 3791  778
33 65-69 cigarretteOnly 2421  689
34 70-74 cigarretteOnly 1195  432
35 75-79 cigarretteOnly  436  214
36   80+ cigarretteOnly  113   63
